replay_buffer/Size,replay_buffer/MeanObs,replay_buffer/StdObs,replay_buffer/MeanGoal,replay_buffer/StdGoal,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/QF1 Grad Norm,trainer/QF2 Grad Norm,trainer/Policy Grad Norm,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/SuccessRate,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/SuccessRate,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/batch sampling (s),time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.06114828,0.9949529,0.041677136,1.0137092,18.897295,18.902458,-4.0233154,9.015935,9.91471,1.8239704,-0.0031737864,0.0010861431,0.0010656168,-0.007712312,-0.0045402707,0.0007410294,-0.0013857653,-0.006802245,1.623214,4.031418,18.578726,-2.810201,-4.0279703,0.5005279,-2.4201083,-5.252327,-0.0045979237,0.0052951123,0.0067836996,-0.013013075,-0.0021886162,0.0009144869,0.00092929316,-0.004336889,0.9997000694274902,-0.0,2000,26,76.92307692307692,10.65877420042386,80,40,[0.],-3.374987004077435,1.9754573358342888,-0.7098289489746094,-6.086283922195435,-259.61438492903335,56.54561188103294,-172.2577906966209,-368.0219133138657,0.0054882877,0.6305751,0.99917084,-0.99930036,13,-259.61438492903335,960,12,80.0,0.0,80,80,[0.],-0.1174977091761927,0.00036430327487587766,-0.11692318543791771,-0.11805300451815129,-9.3998167340954,0.029144261990070218,-9.353854835033403,-9.444240361452088,-0.0046183816,0.005451695,0.007086446,-0.012594264,12,-9.3998167340954,6.173616956919432,0.04457951616495848,2.4396362202242017,3.6248600389808416,0.14890792034566402,0.024012821726500988,233.09924882650375,245.55486230086535,253.01223184540868,0
3000,0.07435203,0.9752536,0.020609146,0.96432674,9.467667,9.327614,-6.7416553,33.8268,22.286442,1.4211912,2.8227534,2.131092,6.247658,-4.1193852,2.5794592,2.1262956,6.261109,-4.294544,2.1332674,3.591859,19.141258,-4.7081323,-3.6618013,0.8214477,-1.271864,-5.8192472,0.03884515,0.26125637,0.6899389,-0.8813262,-0.22282787,0.055463344,-0.11945683,-0.40915275,0.7417846322059631,-2.8831024169921875,3000,39,76.92307692307692,10.65877420042386,80,40,[0.],-3.4697729926705363,1.9909249682171013,-0.7173810958862304,-6.07608962059021,-266.9056148208104,82.31583947200525,-145.01837645769115,-402.26003029346464,0.010850996,0.57297015,0.99615586,-0.99512655,13,-266.9056148208104,1920,24,80.0,0.0,80,80,[0.],-3.9035362260912856,1.375574385687345,-0.25973170101642606,-4.89429235458374,-312.2828980873029,51.725582870923745,-204.8064439445734,-377.73631327152253,0.03112081,0.19678417,0.5494753,-0.71489966,12,-312.2828980873029,6.24694475159049,0.04596753418445587,2.616719621233642,3.4854187490418553,0.23079086188226938,0.04647774901241064,241.98861898109317,254.6609382480383,507.68140812404454,1
4000,0.06375665,0.9636327,0.031154614,0.9384312,13.552464,12.952129,-5.4548893,132.03383,60.131584,1.0722657,1.4299842,4.174463,9.396223,-8.224146,2.3267038,4.1924267,10.079715,-7.83249,2.0336652,5.3984756,18.90642,-11.1623745,-3.5533183,1.0341512,-0.9824485,-6.930628,0.11391608,0.29172924,1.0080402,-0.79321355,-0.30761066,0.07562172,-0.14004524,-0.5210538,0.5520044565200806,-5.6737823486328125,4000,52,76.92307692307692,10.65877420042386,80,40,[0.],-3.294897179931403,1.9868331745053507,-0.4263816237449646,-6.078775882720947,-253.45362922549242,78.5350646020259,-143.92530281543713,-365.99605422019965,0.06281333,0.5466114,0.99891245,-0.9925034,13,-253.45362922549242,2880,36,80.0,0.0,80,80,[0.],-4.235596325540294,1.103151481162727,-0.40010461807250974,-4.8567915558815,-338.8477060432236,28.940284700470393,-273.27271496653555,-379.320919752121,0.12990502,0.21399325,0.7652656,-0.4336247,12,-338.8477060432236,6.23977180942893,0.049348694272339344,2.623757615685463,3.3616709895431995,0.18397224601358175,0.04113508760929108,243.5173608371988,256.0170172797516,763.7039053551853,2
5000,0.084456325,0.964209,0.009187871,0.8826156,14.074722,12.205056,-2.1274078,182.45323,222.71457,3.1158168,-1.2468423,6.7681646,12.928312,-19.5141,-0.8024279,6.633341,12.217159,-19.136806,-1.5716565,7.008568,19.151278,-20.748661,-2.8197782,1.4742515,0.7713303,-7.44116,0.0645705,0.43087646,1.253721,-1.2614408,-0.46098864,0.11285994,-0.1496609,-0.97459984,0.4129027724266052,-7.7990241050720215,5000,65,76.92307692307692,10.65877420042386,80,40,[0.],-3.5352293621540074,1.9851373880279188,-0.6384658575057983,-6.07174015045166,-271.9407201656928,82.16855695313683,-84.19923274517062,-433.90192863941195,-0.008414402,0.5354974,0.9935393,-0.99282455,13,-271.9407201656928,3840,48,80.0,0.0,80,80,[0.],-4.418156516775489,1.3039870532078224,-0.4804839551448822,-5.300138354301453,-353.4525213420391,48.90765288037047,-286.4405733048916,-423.9845550060272,-0.048392374,0.3671237,0.7804787,-0.8910678,12,-353.4525213420391,6.267170801758766,0.04580961726605892,2.7245908454060555,3.3131819842383265,0.18967387918382883,0.03319843951612711,245.23713349271566,257.8107590600848,1021.5260958839208,3
6000,0.06023874,0.9632325,-0.020300558,0.8444035,16.576908,17.301634,2.4577384,222.76297,493.80518,2.9828243,-5.8161874,8.585952,11.687598,-34.316666,-4.305002,8.624784,12.578755,-29.444517,-5.5935693,8.862421,18.760698,-30.441946,-1.8925481,1.8113266,3.1794205,-8.026913,0.05275042,0.60061735,2.0369322,-2.1798944,-0.54886436,0.15482037,-0.14861879,-1.1086295,0.31272614002227783,-9.172391891479492,6000,78,76.92307692307692,10.65877420042386,80,40,[0.],-4.150971108090878,1.8449744472093705,-0.6099356174468994,-5.970347046852112,-319.3054698531444,88.08296963450863,-148.28953261375412,-435.50401685237887,-0.05758374,0.5337078,0.98576605,-0.99345356,13,-319.3054698531444,4800,60,80.0,0.0,80,80,[0.],-4.58647968163869,1.5530950923432187,-0.1793900415301323,-5.350071668624878,-366.9183745310952,110.54873211654807,-25.55133152753121,-424.2314507961273,0.010901438,0.4632766,0.9123698,-0.9599685,12,-366.9183745310952,6.269561691209674,0.0444413460791111,2.6787397358566523,3.116815758869052,0.17746286001056433,0.038531770929694176,244.98536631651223,257.310919479467,1278.8438237737864,4
7000,0.05030055,0.9636421,-0.036017664,0.80573267,23.025188,25.316965,8.689777,528.33594,878.9366,4.2046742,-10.568468,9.893011,7.1754313,-49.293293,-11.202553,10.270047,9.110758,-48.03264,-9.763118,10.742035,19.002167,-46.681828,-1.2737589,2.2378314,6.008809,-7.698048,0.11054581,0.70630485,2.6427038,-2.0391235,-0.6298607,0.21207836,0.0005915016,-1.4348452,0.23875810205936432,-10.416372299194336,7000,91,76.92307692307692,10.65877420042386,80,40,[0.],-3.637822300642729,1.9994313744648562,-0.4519702851772308,-6.183022975921631,-279.83248466482524,101.64214220570706,-127.65760083198546,-420.7799303531647,0.0033746287,0.540365,0.9945771,-0.99165976,13,-279.83248466482524,5760,72,80.0,0.0,80,80,[0.],-4.3509402569057425,1.69732792238549,-0.1850275680422783,-5.652790546417236,-348.07522055245937,116.46836441228733,-27.431149773299776,-436.9347587823868,-0.0077242916,0.45420906,0.9656706,-0.96468747,12,-348.07522055245937,6.33676434494555,0.045157953165471554,2.6959666991606355,3.2587017631158233,0.3271927125751972,0.03818129561841488,244.46047109365463,257.1624358622357,1536.0156494472176,5
8000,0.0524036,0.96255684,-0.036619917,0.7850119,37.566727,34.928238,11.43978,417.18436,196.92049,2.4353492,-13.69816,11.059853,9.854543,-50.269707,-13.076307,10.820762,9.146449,-50.05109,-13.306208,12.549314,19.048574,-50.16666,-0.13478102,2.4366126,7.9922814,-7.9690003,-0.011046615,0.78725505,2.6371055,-2.291319,-0.762446,0.22842447,0.028732866,-1.4393673,0.1841937154531479,-10.377067565917969,8000,104,76.92307692307692,10.65877420042386,80,40,[0.],-3.9426999055087566,2.0210645867156907,-0.4608032166957855,-6.135835409164429,-303.28460811605817,128.60405976525325,-106.15983371734613,-453.96324478387834,-0.03658619,0.54392433,0.99981695,-0.9964294,13,-303.28460811605817,6720,84,80.0,0.0,80,80,[0.],-4.6249843063888445,1.5514898529534822,-0.19842634946107865,-5.768918752670288,-369.9987445111076,107.36875046970036,-32.52936290204533,-448.92074904441836,-0.065117225,0.4915693,0.99338704,-0.9426831,12,-369.9987445111076,6.27895176038146,0.04841777216643095,2.757165259681642,3.126129737123847,0.23320986982434988,0.042766645550727844,244.53113842569292,257.0177794704214,1793.0473222872242,6
9000,0.06257335,0.96398264,-0.023875723,0.7762487,40.51251,39.64933,14.237492,458.85413,441.4502,5.807797,-15.188562,12.2660265,11.397348,-52.521267,-15.264828,12.452444,13.943601,-58.896576,-14.910803,13.688439,18.847902,-55.203957,1.0851403,2.4622104,8.641885,-6.3749847,-0.05242729,0.84407395,2.32651,-2.5248575,-0.93897146,0.2480017,-0.11208422,-1.7586534,0.14308802783489227,-9.554740905761719,9000,117,76.92307692307692,10.65877420042386,80,40,[0.],-4.267605000156164,1.8366576957727456,-0.3750217318534851,-5.950644612312317,-328.2773077043203,98.214529334886,-166.84147738218283,-444.07493793964386,-0.02450839,0.52915126,0.99424565,-0.99389786,13,-328.2773077043203,7680,96,80.0,0.0,80,80,[0.],-4.792570202589656,1.58912624807949,-0.1691618248820305,-6.10018253326416,-383.4056162071725,113.91487642288801,-26.529619172215547,-478.91116364002227,-0.006264521,0.559495,0.9852118,-0.9693573,12,-383.4056162071725,6.233459590002894,0.041687047109007835,2.7005071826279163,2.9881227677688003,0.20362295117229223,0.038846991024911404,244.36341894418,256.56966547388583,2049.6233209660277,7
10000,0.065104835,0.97083837,-0.026865626,0.7690739,33.000435,33.76249,17.642067,576.0113,807.38495,5.746399,-17.827076,14.306391,14.521383,-68.99347,-17.416637,14.048139,14.88736,-69.8301,-18.479069,15.15629,19.171726,-69.520424,2.0085926,2.6450682,10.821038,-6.361733,-0.12300879,0.9392026,2.7335243,-3.879746,-0.99101096,0.26800108,-0.03759405,-1.7987485,0.11262017488479614,-8.71526050567627,10000,130,76.92307692307692,10.65877420042386,80,40,[0.],-4.511915864217282,1.7312267176560223,-0.3664646804332733,-6.144880533218384,-347.070451093637,109.59385230592882,-108.14027738571168,-450.2539914131164,-0.04577885,0.5655125,0.99547756,-0.9979932,13,-347.070451093637,8640,108,80.0,0.0,80,80,[0.],-4.794323891508394,1.536586078416764,-0.18358853310346604,-5.733436226844788,-383.54591132067145,108.44625766900815,-36.229398496449086,-450.79058361053467,-0.13855481,0.5304224,0.9854813,-0.9753934,12,-383.54591132067145,6.242645932361484,0.039406019262969494,2.7327508237212896,2.943070680834353,0.23160991817712784,0.03810923174023628,243.7499095266685,255.97750213276595,2305.608433075249,8
11000,0.06118335,0.9661899,-0.028362824,0.762259,47.018723,42.84758,20.555462,1809.5192,428.4724,2.9070845,-20.572247,15.328184,16.456491,-78.30029,-18.30546,15.804999,17.426292,-78.42845,-17.778633,16.248331,18.930098,-78.06221,3.2208917,2.4740539,11.987874,-4.201674,0.14480454,0.9922327,3.6686192,-3.4389222,-1.1236849,0.31662446,-0.0449934,-2.0464888,0.09032026678323746,-6.681467056274414,11000,143,76.92307692307692,10.65877420042386,80,40,[0.],-4.684911564010382,1.6376856376973288,-0.4074691295623779,-6.0850300788879395,-360.37781261618323,115.62772540872685,-73.7623054087162,-457.4581440448761,-0.0023574156,0.57514805,0.9994988,-0.99961793,13,-360.37781261618323,9600,120,80.0,0.0,80,80,[0.],-5.101817634329199,0.939870246439678,-0.8158215045928955,-5.865034699440002,-408.1454107463359,33.88166054885523,-344.41467572450637,-458.61068828105925,0.031290665,0.5475847,0.99251556,-0.9655125,12,-408.1454107463359,6.23524359613657,0.04239481873810291,2.7584390556439757,2.8785578794777393,0.48443461023271084,0.03638187609612942,244.26934081688523,256.70479265321046,2562.324745086953,9
12000,0.06159266,0.96705,-0.038872417,0.7587937,26.910843,25.544445,21.878809,1131.9647,838.86816,4.035589,-20.72493,17.223135,12.540439,-77.34099,-20.227594,17.64463,14.703751,-80.28958,-19.089348,18.145212,19.08457,-75.57994,3.899487,3.2111495,18.648556,-5.5702915,0.018781101,1.137014,3.712626,-3.6795557,-1.1171075,0.3553318,0.19439474,-1.9740098,0.07361576706171036,-5.479633331298828,12000,156,76.92307692307692,10.65877420042386,80,40,[0.],-4.664816225782037,1.8951536533353899,-0.3341704815626144,-6.330723762512207,-358.83201736784906,130.96719726417936,-65.7031253725291,-487.47010564804077,-0.2282157,0.60125536,0.99874467,-0.9996294,13,-358.83201736784906,10560,132,80.0,0.0,80,80,[0.],-4.905628504801231,1.722464653736432,-0.16054017692804337,-6.204830169677734,-392.4502803840985,118.69035035514473,-33.13575377315292,-493.48536109924316,-0.0846138,0.63127923,0.99842024,-0.9936857,12,-392.4502803840985,6.228414369747043,0.04359815921634436,2.730986012145877,2.9439544212073088,0.2863365998491645,0.034304726868867874,244.02079712506384,256.28839141409844,2818.6210440266877,10
13000,0.06710659,0.9669526,-0.034772173,0.75609267,25.99303,26.725426,22.658077,1300.2169,1667.8582,6.1776905,-22.054995,17.809448,12.5469,-82.42427,-17.729195,17.125618,15.906437,-78.30421,-20.43768,17.927786,19.519056,-81.59369,4.3569107,3.0008836,19.23867,-2.784009,0.08611215,1.084859,4.355479,-3.4325373,-1.2989908,0.36594844,0.12939733,-2.2176178,0.060710467398166656,-4.603018283843994,13000,169,76.92307692307692,10.65877420042386,80,40,[0.],-4.3047268171012405,1.8158683241686486,-0.2976889967918396,-6.056083679199219,-331.1328320847108,116.05068882692089,-80.86901579797257,-457.65437326431277,0.022531556,0.5236794,0.99737835,-0.9983373,13,-331.1328320847108,11520,144,80.0,0.0,80,80,[0.],-4.621276663670627,1.6340136949795474,-0.18457718044519425,-6.157236814498901,-369.70213309365016,114.72963356440258,-43.764150844514475,-485.2164008617401,-0.06514403,0.5423438,0.99782175,-0.9891385,12,-369.70213309365016,6.220700931735337,0.04786825645714998,2.728967448696494,2.964731282554567,0.21681504044681787,0.03994479775428772,244.15248732548207,256.3715150831267,3075.0058877887204,11
14000,0.0695023,0.9682422,-0.024884533,0.75108093,17.814678,24.224392,23.278072,1039.7996,1209.7251,5.197733,-21.614943,18.138937,14.194159,-102.65451,-18.314873,18.003202,18.618814,-98.695076,-19.783478,18.401112,19.055664,-102.00393,5.302437,2.879468,16.680382,-1.1102526,0.00025212517,1.1195693,4.1449423,-3.7480116,-1.3713498,0.37825242,-0.04292825,-2.3803728,0.05171652510762215,-2.066094398498535,14000,182,76.92307692307692,10.65877420042386,80,40,[0.],-5.308707334804534,1.001502487779848,-0.6010842084884643,-6.285180568695068,-408.3621026772719,72.76995942654831,-200.6119107246399,-469.98005747795105,0.08226427,0.6349835,0.9990948,-0.9982301,13,-408.3621026772719,12480,156,80.0,0.0,80,80,[0.],-4.820883334203002,1.647432509735998,-0.2216532662510872,-6.2127845287323,-385.6706667362402,118.22563320211309,-28.082867972552847,-497.0214116573334,-0.0470532,0.5865384,0.99978876,-0.98967475,12,-385.6706667362402,6.22924186848104,0.05533114820718765,2.6968349404633045,2.9057032577693462,0.29428850300610065,0.03592465817928314,245.61582481581718,257.83314919192344,3332.8491253564134,12
15000,0.064474694,0.9692767,-0.010488136,0.7498579,18.86957,16.347937,21.420639,434.65952,351.6348,5.084912,-18.817728,19.072504,21.445728,-77.37195,-18.725708,19.169825,19.54536,-77.04893,-19.297718,19.22039,19.43911,-78.885994,5.862719,3.315029,18.394987,-1.1629591,-0.07896743,1.1648757,3.7425137,-3.7269654,-1.4079294,0.3710975,-0.06313974,-2.337109,0.04600825905799866,-0.42267704010009766,15000,195,76.92307692307692,10.65877420042386,80,40,[0.],-4.272172142380476,1.9905859574570748,-0.22906360626220704,-6.1725754737854,-328.6286263369597,137.77907650420548,-63.01698207259188,-460.3208590745926,0.15453883,0.5359413,0.99975324,-0.9946392,13,-328.6286263369597,13440,168,80.0,0.0,80,80,[0.],-4.797876917836256,1.6925101173654047,-0.17094204425811768,-5.906518459320068,-383.83015342690055,114.43832842974697,-22.702552728354974,-464.56980831623076,-0.050196953,0.5860086,0.995452,-0.99208,12,-383.83015342690055,6.279234225861728,0.04180189594626427,2.763990644365549,2.9914053604006767,0.3226629253476858,0.03477305732667446,245.25513418391347,257.68900229316205,3590.5500188143924,13
16000,0.062593065,0.9693999,-0.0056041656,0.74648184,17.182133,22.790478,22.488857,505.31085,1477.1056,5.0713754,-20.666767,20.188251,18.632305,-99.436226,-17.459457,20.180964,24.490019,-97.183876,-20.211277,20.585169,19.563696,-96.0044,6.0886517,3.5286193,22.543365,-2.8583515,0.030578291,1.198025,3.887734,-4.1161075,-1.4401016,0.44456345,1.1011536,-2.4432518,0.04558037221431732,0.2737913131713867,16000,208,76.92307692307692,10.65877420042386,80,40,[0.],-4.8129698291540155,1.6895135382497732,-0.3537841796875,-6.352023124694824,-370.2284483964626,115.43264815672825,-84.45272412300105,-492.8472833633423,0.037572607,0.626272,0.9998982,-0.9998919,13,-370.2284483964626,14400,180,80.0,0.0,80,80,[0.],-4.718246871734348,1.5830190571398088,-0.19170529991388321,-6.1798036098480225,-377.45974973874786,114.40829488265824,-38.46488954871902,-494.3842887878418,-0.065609425,0.53649217,0.99750185,-0.99504644,12,-377.45974973874786,6.197135204449296,0.0425889203324914,2.6281335121020675,2.8482249714434147,0.36012192722409964,0.028302932158112526,244.46211381908506,256.56662128679454,3847.1245461758226,14
17000,0.06307155,0.9688637,-0.0066782706,0.74687403,24.62498,15.847966,21.581871,1300.3273,319.6047,5.0619965,-19.418423,18.768482,15.950405,-77.20367,-17.570309,18.7795,17.863468,-77.17648,-17.00354,19.55991,19.564167,-76.648125,5.8396153,3.3254528,17.02096,-3.5287385,-0.111325644,1.1621182,4.2376404,-4.4699397,-1.4238424,0.41783836,-0.09156588,-2.560114,0.04725038632750511,-0.48955339193344116,17000,221,76.92307692307692,10.65877420042386,80,40,[0.],-4.4901457114815715,1.841954326330708,-0.34827416241168974,-6.207617282867432,-345.3958239601209,132.563955831287,-51.99623745679859,-482.9404648542404,-0.07489428,0.55799997,0.9997484,-0.9987857,13,-345.3958239601209,15360,192,80.0,0.0,80,80,[0.],-4.506231094224688,1.9994192908514772,-0.17589463144540787,-6.1319355964660645,-360.4984875379751,149.34548180615687,-22.393953554332295,-490.47833728790283,0.066321574,0.5661348,0.9992085,-0.9995937,12,-360.4984875379751,6.262856651097536,0.04255358502268791,2.712267465889454,2.945107269100845,0.33409377839416265,0.034038894809782505,244.99247818998992,257.3233958343044,4104.458480314352,15
